event_type,matchup,location,date
Regular Season,Portland Thorns FC vs NJ/NY Gotham FC,"Providence Park, Portland, Oregon",2023-10-07 17:00:00
Regular Season,North Carolina Courage vs San Diego Wave FC,"WakeMed Soccer Park, Cary, North Carolina",2023-10-07 19:00:00
Regular Season,Kansas City Current vs Chicago Red Stars,"Children's Mercy Park, Kansas City, Kansas",2023-10-07 20:00:00
Regular Season,Houston Dash vs Angel City FC,"Shell Energy Stadium, Houston, Texas",2023-10-08 19:00:00
Regular Season,Washington Spirit vs North Carolina Courage,"Audi Field, Washington, District of Columbia",2023-10-15 17:00:00
Regular Season,NJ/NY Gotham FC vs Kansas City Current,"Red Bull Arena, Harrison, New Jersey",2023-10-15 17:00:00
Regular Season,Orlando Pride vs Houston Dash,"Exploria Stadium, Orlando, Florida",2023-10-15 17:00:00
Regular Season,Chicago Red Stars vs OL Reign,"SeatGeek Stadium, Bridgeview, Illinois",2023-10-15 17:00:00
Regular Season,Angel City FC vs Portland Thorns FC,"BMO Stadium, Los Angeles, California",2023-10-15 17:00:00
Regular Season,San Diego Wave FC vs Racing Louisville FC,"Snapdragon Stadium, San Diego, California",2023-10-15 17:00:00
